Comunidades_autonomas;Gastos_y_duracion_media_de_los_viajes;Tipo_de_dato;Periodo;Total
Total;Gasto total;Dato base;2020M03;2214.89
Total;Gasto total;Dato base;2020M02;4713.58
Total;Gasto total;Dato base;2020M01;4778.57
Total;Gasto total;Dato base;2019M12;5013.38
Total;Gasto total;Dato base;2019M11;5067.76
Total;Gasto total;Dato base;2019M10;8367.07
Total;Gasto total;Dato base;2019M09;9705.72
Total;Gasto total;Dato base;2019M08;11764.51
Total;Gasto total;Dato base;2019M07;11979.69
Total;Gasto total;Dato base;2019M06;9696.43
Total;Gasto total;Dato base;2019M05;8194.64
Total;Gasto total;Dato base;2019M04;7095.08
Total;Gasto total;Dato base;2019M03;6034.87
Total;Gasto total;Dato base;2019M02;4658.61
Total;Gasto total;Dato base;2019M01;4678.67
Total;Gasto total;Dato base;2018M12;5009.52
Total;Gasto total;Dato base;2018M11;4888.55
Total;Gasto total;Dato base;2018M10;8164.58
Total;Gasto total;Dato base;2018M09;9545.81
Total;Gasto total;Dato base;2018M08;11459.69
Total;Gasto total;Dato base;2018M07;11748.1
Total;Gasto total;Dato base;2018M06;9370.81
Total;Gasto total;Dato base;2018M05;8155.06
Total;Gasto total;Dato base;2018M04;6621.53
Total;Gasto total;Dato base;2018M03;5726.73
Total;Gasto total;Dato base;2018M02;4535.94
Total;Gasto total;Dato base;2018M01;4524.43
Total;Gasto total;Dato base;2017M12;4530.66
Total;Gasto total;Dato base;2017M11;4642.35
Total;Gasto total;Dato base;2017M10;7789.23
Total;Gasto total;Dato base;2017M09;9476.29
Total;Gasto total;Dato base;2017M08;11340.29
Total;Gasto total;Dato base;2017M07;11850.99
Total;Gasto total;Dato base;2017M06;8987.77
Total;Gasto total;Dato base;2017M05;7927.07
Total;Gasto total;Dato base;2017M04;6782.08
Total;Gasto total;Dato base;2017M03;5109.49
Total;Gasto total;Dato base;2017M02;4304.73
Total;Gasto total;Dato base;2017M01;4262.99
Total;Gasto total;Dato base;2016M12;4525.45
Total;Gasto total;Dato base;2016M11;4205.06
Total;Gasto total;Dato base;2016M10;7333.85
Total;Gasto total;Dato base;2016M09;8399.31
Total;Gasto total;Dato base;2016M08;10281.98
Total;Gasto total;Dato base;2016M07;10238.54
Total;Gasto total;Dato base;2016M06;7817.41
Total;Gasto total;Dato base;2016M05;6917.93
Total;Gasto total;Dato base;2016M04;5627.99
Total;Gasto total;Dato base;2016M03;4624.47
Total;Gasto total;Dato base;2016M02;3706.27
Total;Gasto total;Dato base;2016M01;3737.26
Total;Gasto total;Dato base;2015M12;3773.27
Total;Gasto total;Dato base;2015M11;3872.84
Total;Gasto total;Dato base;2015M10;6280.63
Total;Gasto medio por persona;Dato base;2020M03;1097
Total;Gasto medio por persona;Dato base;2020M02;1066
Total;Gasto medio por persona;Dato base;2020M01;1155
Total;Gasto medio por persona;Dato base;2019M12;1162
Total;Gasto medio por persona;Dato base;2019M11;1086
Total;Gasto medio por persona;Dato base;2019M10;1097
Total;Gasto medio por persona;Dato base;2019M09;1089
Total;Gasto medio por persona;Dato base;2019M08;1162
Total;Gasto medio por persona;Dato base;2019M07;1212
Total;Gasto medio por persona;Dato base;2019M06;1098
Total;Gasto medio por persona;Dato base;2019M05;1030
Total;Gasto medio por persona;Dato base;2019M04;990
Total;Gasto medio por persona;Dato base;2019M03;1068
Total;Gasto medio por persona;Dato base;2019M02;1063
Total;Gasto medio por persona;Dato base;2019M01;1115
Total;Gasto medio por persona;Dato base;2018M12;1150
Total;Gasto medio por persona;Dato base;2018M11;1078
Total;Gasto medio por persona;Dato base;2018M10;1067
Total;Gasto medio por persona;Dato base;2018M09;1069
Total;Gasto medio por persona;Dato base;2018M08;1126
Total;Gasto medio por persona;Dato base;2018M07;1172
Total;Gasto medio por persona;Dato base;2018M06;1095
Total;Gasto medio por persona;Dato base;2018M05;1009
Total;Gasto medio por persona;Dato base;2018M04;977
Total;Gasto medio por persona;Dato base;2018M03;1062
Total;Gasto medio por persona;Dato base;2018M02;1075
Total;Gasto medio por persona;Dato base;2018M01;1102
Total;Gasto medio por persona;Dato base;2017M12;1138
Total;Gasto medio por persona;Dato base;2017M11;1057
Total;Gasto medio por persona;Dato base;2017M10;1071
Total;Gasto medio por persona;Dato base;2017M09;1067
Total;Gasto medio por persona;Dato base;2017M08;1091
Total;Gasto medio por persona;Dato base;2017M07;1129
Total;Gasto medio por persona;Dato base;2017M06;1066
Total;Gasto medio por persona;Dato base;2017M05;991
Total;Gasto medio por persona;Dato base;2017M04;958
Total;Gasto medio por persona;Dato base;2017M03;1040
Total;Gasto medio por persona;Dato base;2017M02;1045
Total;Gasto medio por persona;Dato base;2017M01;1091
Total;Gasto medio por persona;Dato base;2016M12;1134
Total;Gasto medio por persona;Dato base;2016M11;1026
Total;Gasto medio por persona;Dato base;2016M10;1027
Total;Gasto medio por persona;Dato base;2016M09;1059
Total;Gasto medio por persona;Dato base;2016M08;1025
Total;Gasto medio por persona;Dato base;2016M07;1073
Total;Gasto medio por persona;Dato base;2016M06;1035
Total;Gasto medio por persona;Dato base;2016M05;973
Total;Gasto medio por persona;Dato base;2016M04;925
Total;Gasto medio por persona;Dato base;2016M03;999
Total;Gasto medio por persona;Dato base;2016M02;1007
Total;Gasto medio por persona;Dato base;2016M01;1060
Total;Gasto medio por persona;Dato base;2015M12;1074
Total;Gasto medio por persona;Dato base;2015M11;1031
Total;Gasto medio por persona;Dato base;2015M10;976
Total;Gasto medio diario por persona;Dato base;2020M03;152
Total;Gasto medio diario por persona;Dato base;2020M02;156
Total;Gasto medio diario por persona;Dato base;2020M01;144
Total;Gasto medio diario por persona;Dato base;2019M12;147
Total;Gasto medio diario por persona;Dato base;2019M11;161
Total;Gasto medio diario por persona;Dato base;2019M10;161
Total;Gasto medio diario por persona;Dato base;2019M09;151
Total;Gasto medio diario por persona;Dato base;2019M08;146
Total;Gasto medio diario por persona;Dato base;2019M07;160
Total;Gasto medio diario por persona;Dato base;2019M06;163
Total;Gasto medio diario por persona;Dato base;2019M05;163
Total;Gasto medio diario por persona;Dato base;2019M04;153
Total;Gasto medio diario por persona;Dato base;2019M03;151
Total;Gasto medio diario por persona;Dato base;2019M02;148
Total;Gasto medio diario por persona;Dato base;2019M01;139
Total;Gasto medio diario por persona;Dato base;2018M12;137
Total;Gasto medio diario por persona;Dato base;2018M11;154
Total;Gasto medio diario por persona;Dato base;2018M10;151
Total;Gasto medio diario por persona;Dato base;2018M09;147
Total;Gasto medio diario por persona;Dato base;2018M08;139
Total;Gasto medio diario por persona;Dato base;2018M07;152
Total;Gasto medio diario por persona;Dato base;2018M06;151
Total;Gasto medio diario por persona;Dato base;2018M05;149
Total;Gasto medio diario por persona;Dato base;2018M04;144
Total;Gasto medio diario por persona;Dato base;2018M03;142
Total;Gasto medio diario por persona;Dato base;2018M02;141
Total;Gasto medio diario por persona;Dato base;2018M01;132
Total;Gasto medio diario por persona;Dato base;2017M12;127
Total;Gasto medio diario por persona;Dato base;2017M11;138
Total;Gasto medio diario por persona;Dato base;2017M10;143
Total;Gasto medio diario por persona;Dato base;2017M09;143
Total;Gasto medio diario por persona;Dato base;2017M08;126
Total;Gasto medio diario por persona;Dato base;2017M07;139
Total;Gasto medio diario por persona;Dato base;2017M06;143
Total;Gasto medio diario por persona;Dato base;2017M05;145
Total;Gasto medio diario por persona;Dato base;2017M04;139
Total;Gasto medio diario por persona;Dato base;2017M03;141
